t,x,y,theta,state,front_min,dist_goal,clearance,v,omega
0.0,0.5,0.5,0.0,RUN,1.0,12.020815280171307,2.663092425882008,0.64,2.0
0.05,0.531946693326985,0.5015986671110317,0.10000000000000009,RUN,1.6,11.997114320514944,2.64113697554241,0.64,1.5215445879998044
0.1,0.5636346595454724,0.5060008262006408,0.17607722939999038,RUN,2.0,11.971644921318315,2.617373634591603,0.64,1.3828891721367553
0.15000000000000002,0.5949210765343663,0.5126905348701715,0.2452216880068283,RUN,2.0,11.944863903225041,2.5922525456810637,0.64,1.2272493603449464
0.2,0.6257059939962046,0.5214064735525447,0.3065841560240754,RUN,2.0,11.917019270174391,2.5660077989214263,0.64,1.0924236949933261
0.25,0.6559349752338655,0.5318923749865779,0.36120534077374167,RUN,2.0,11.888324856191302,2.5388454110156484,0.64,0.9720632406879451
0.3,0.685583510696202,0.5439241155365871,0.4098085028081391,RUN,2.0,11.85895193182815,2.51093219321435,0.64,0.8650221527194015
0.35,0.7146489890546592,0.557304636761046,0.45305961044410914,RUN,2.0,11.829038269066066,2.4824042545763203,0.64,0.7697765297818403
0.39999999999999997,0.7431439489212872,0.5718617950178867,0.49154843693320105,RUN,2.0,11.79869422650296,2.4533723833736714,0.64,0.6850289377415315
0.44999999999999996,0.7710910942933316,0.5874456635901484,0.5257998838202775,RUN,2.0,11.76800799802017,2.4239267426465774,0.64,0.6096195922964627
0.49999999999999994,0.7985195788106886,0.6039259232112726,0.5562808634351004,RUN,2.0,11.737049927561664,2.3941407365720697,0.64,0.542518007856579
0.5499999999999999,0.8254622806964007,0.6211894114780178,0.5834067638279294,RUN,2.0,11.705876037385899,2.36407418536411,0.64,0.48280771899592057
0.6,0.8519538315464698,0.6391378934701408,0.6075471497777256,RUN,2.0,11.674530891117518,2.3337759145181476,0.64,0.4296736443301675
0.65,0.878029215560519,0.6576860729938876,0.6290308319942342,RUN,2.0,11.643049904557165,2.3032858571891452,0.64,0.3823907888947914
0.7000000000000001,0.9037227969138859,0.6767598425069836,0.6481503714389736,RUN,2.0,11.611461202988894,2.2726367557598497,0.64,0.3403142359873648
0.7500000000000001,0.9290676659916393,0.6962947575242144,0.6651660832383417,RUN,1.9921254246666869,11.579787109185622,2.2418555359559384,0.64,0.3028702642569022
0.8000000000000002,0.9540952210904952,0.7162347153168473,0.6803095964511869,RUN,1.9610207805711402,11.548045332566051,2.2109644149320267,0.64,0.2695484606680523
0.8500000000000002,0.9788349223067236,0.7365308155284505,0.6937870194845894,RUN,1.9307507502925128,11.516249917673594,2.1799817941270816,0.64,0.23989471460518974
0.9000000000000002,1.003314169831076,0.7571403803826446,0.7057817552148489,RUN,1.9009218680537079,11.484411999538453,2.1489229785195114,0.64,0.21350499259410652
0.9500000000000003,1.0275582707528592,0.7780261134524511,0.7164570048445542,RUN,1.8712630554810001,11.452540404526454,2.1178007561693133,0.64,0.19001980516637074
1.0000000000000002,1.0515904675394387,0.7991553778668914,0.7259579951028727,RUN,1.8415916381036963,11.420642127834995,2.086625865493192,0.64,0.16911928784711716
1.0500000000000003,1.075432008247101,0.8204995769636394,0.7344139594952286,RUN,1.8117892470875017,11.38872271268234,2.0554073724179287,0.64,0.15051882734491698
1.1000000000000003,1.0991022437393911,0.8420336225307468,0.7419399008624743,RUN,1.7817842726544686,11.356786551256599,2.0241529752304133,0.64,0.13396517197317814
1.1500000000000004,1.1226187411326416,0.8637354777909918,0.7486381594611333,RUN,1.7515388555068059,11.324837123460613,1.9928692514320607,0.64,0.11923297230486148
1.2000000000000004,1.145997405658664,0.885585764107871,0.7545998080763763,RUN,1.72103914119716,11.292877186243073,1.9615618580699286,0.64,0.10612170419313684
1.2500000000000004,1.1692526053645165,0.9075674220099135,0.759905893286033,RUN,1.6902879511653714,11.26090892370175,1.9302356947346997,0.64,0.09445293169423316
1.3000000000000005,1.1923972947369665,0.9296654185397246,0.7646285398707446,RUN,1.6592992822215484,11.228934066060956,1.898895036583863,0.64,0.08406787220008134
1.3500000000000005,1.215443134580882,0.9518664941482617,0.7688319334807487,RUN,1.6280942079429765,11.196953983961768,1.867543643280864,0.64,0.0748252303077536
1.4000000000000006,1.2384006063997983,0.9741589433916795,0.7725731949961365,RUN,1.5966978616161875,11.164969763177812,1.8361848485672287,0.64,0.06659927068843048
1.4500000000000006,1.2612791202022144,0.9965324245683078,0.775903158530558,RUN,1.5651372537855521,11.13298226381434,1.8048216342467924,0.64,0.05927810352962091
1.5000000000000007,1.2840871151486617,1.0189777941774807,0.7788670637070392,RUN,1.5334397309564163,11.100992167209517,1.7734566916125534,0.64,0.052762159060760885
1.5500000000000007,1.3068321528078037,1.041486962709378,0.7815051716600774,RUN,1.501631922734703,11.069000013090461,1.7420924727494067,0.64,0.046962830278636666
1.6000000000000008,1.3295210030393427,1.0640527688031707,0.7838533131740091,RUN,1.4697390567318478,11.03700622900772,1.7107312336698066,0.64,0.04180126530311643
1.6500000000000008,1.352159722693555,1.0866688692550834,0.7859433764391648,RUN,1.4377845462727454,11.00501115365211,1.6793750708597845,0.64,0.0372072928493227
1.7000000000000008,1.374753727431738,1.1093296427316428,0.787803741081631,RUN,1.4057897767408842,10.973015055325028,1.6480259525103849,0.64,0.03311846612908128
1.7500000000000009,1.3973078570438489,1.1320301053579644,0.7894596643880849,RUN,1.3737740332194566,10.941018146569386,1.6166857454687023,0.64,0.029479212117814527
1.800000000000001,1.4198264346804272,1.1547658366159155,0.7909336249939756,RUN,1.341754525626313,10.9090205957592,1.5853562387511555,0.64,0.02624007456651763
1.850000000000001,1.4423133204342946,1.1775329142106266,0.7922456287223012,RUN,1.3097464783418618,10.87702253628,1.5540391643093274,0.64,0.023357040421559748
1.900000000000001,1.4647719597098678,1.2003278567528959,0.793413480743379,RUN,1.2777632598553847,10.845024073800829,1.522736215617869,0.64,0.020790940456345042
